sample,t_seconds,i_ideal,q_ideal,i_dac,q_dac,rf_ideal,rf_dac,rx_i,rx_q,rx_rf
8462,0.0031735673567356735,0.33898989468703955,-0.5396308128087456,0.33984375,-0.5390625,-0.5679192219005909,-0.5674299665734214,0.5145505070534118,-0.8645179377120402,-0.9072728516259431
8463,0.0031739423942394236,0.3494802154184175,-0.5370060086737385,0.34765625,-0.53515625,-0.5590271321431779,-0.5570603402849535,0.5335249657126027,-0.869887699088485,-0.903395146480696
8464,0.003174317431743174,0.3599573713975623,-0.5343783213613161,0.359375,-0.53515625,-0.5493197264999122,-0.5500719713043102,0.5420151405724057,-0.85900960292609,-0.8814580305451527
8465,0.0031746924692469245,0.37042119337424423,-0.5317477895004992,0.37109375,-0.53125,-0.5388056260801284,-0.5383209243254761,0.5475137800206202,-0.8674088803023109,-0.877825755100273
8466,0.003175067506750675,0.38087151243811823,-0.5291144517669518,0.3828125,-0.52734375,-0.5274942021859573,-0.5257152835291309,0.5724925393332915,-0.8466182663791089,-0.84418238833007
8467,0.0031754425442544255,0.3913081600213626,-0.5264783468822638,0.390625,-0.52734375,-0.515395568260804,-0.5162796302644677,0.569294270581425,-0.8417844721151124,-0.8256313873192517
8468,0.003175817581758176,0.40173096790141793,-0.5238395136132061,0.40234375,-0.5234375,-0.5025205712284183,-0.5020876230526551,0.5928191799013963,-0.8340674200749519,-0.8025273197612779
8469,0.003176192619261926,0.412139768203618,-0.5211979907710123,0.4140625,-0.51953125,-0.48888078222964193,-0.4870747746870228,0.6273680372012499,-0.8641930209035376,-0.8148003454888857
8470,0.0031765676567656765,0.4225343934038525,-0.5185538172106445,0.421875,-0.51953125,-0.4744884867644656,-0.4755260263280846,0.6391907800066613,-0.841423119814589,-0.7744869157752383
8471,0.003176942694269427,0.4329146763312296,-0.5159070318300637,0.43359375,-0.515625,-0.4593566742478662,-0.4589940567195788,0.6686806896817746,-0.8172165807811611,-0.7297174278237094
8472,0.003177317731773177,0.44328045017071516,-0.5132576735694974,0.44140625,-0.51171875,-0.44349902698755395,-0.4422483640165727,0.6752775620297194,-0.8115496357548145,-0.7049677431859631
8473,0.0031776927692769275,0.45363154846577136,-0.5106057814107064,0.453125,-0.51171875,-0.4269299085928728,-0.42811228080610364,0.6986687529497688,-0.8367433126632269,-0.707149842610911
8474,0.003178067806780678,0.4639678051209898,-0.507951394376253,0.46484375,-0.5078125,-0.40966435182462796,-0.40936022977216335,0.7076215786593041,-0.8363429163131602,-0.6852986387271404
8475,0.003178442844284428,0.4742890544047087,-0.5052945515287658,0.47265625,-0.50390625,-0.3917180458952361,-0.3907125607639716,0.7324737311006035,-0.7886449882252361,-0.6130486603915382
8476,0.0031788178817881785,0.48459513095163487,-0.5026352919702042,0.484375,-0.50390625,-0.3731073232298936,-0.37439418891506066,0.7771164481193277,-0.8237957682515898,-0.6155712064891284
8477,0.003179192919291929,0.49488586976544535,-0.49997365484112455,0.49609375,-0.5,-0.3538491456995184,-0.35356003539379915,0.7455129855923195,-0.8103239584043309,-0.5882253104061199
8478,0.003179567956795679,0.5051611062213842,-0.4973096793199436,0.50390625,-0.49609375,-0.33396109033661814,-0.33315013602389265,0.7755431587304614,-0.7960429703961731,-0.543932155805974
8479,0.00317994299429943,0.5154206760688722,-0.49464340462219725,0.515625,-0.49609375,-0.31346133454546854,-0.3147798482604416,0.7849910543266948,-0.8070092664429431,-0.5284997396679237
8480,0.0031803180318031804,0.525664415434037,-0.49197486999981765,0.52734375,-0.4921875,-0.2923686408190479,-0.29201875857541737,0.8182281615010975,-0.8121001815753031,-0.4988397163825935
8481,0.0031806930693069305,0.5358921608223591,-0.48930411474037494,0.53515625,-0.48828125,-0.2707023409745711,-0.27000188291499894,0.8312306511578217,-0.7849929185748513,-0.44426894941390704
8482,0.003181068106810681,0.546103749121196,-0.4866311781663508,0.546875,-0.48828125,-0.24848231992068096,-0.24972692209598227,0.8308048488904297,-0.7944708285187277,-0.42827956461326905
8483,0.0031814431443144314,0.5562990176023522,-0.4839560996343969,0.5546875,-0.484375,-0.22572899896936863,-0.22674876189900992,0.860197416861427,-0.7888818325531642,-0.3863113303210165
8484,0.003181818181818182,0.5664778039246193,-0.4812789185345949,0.56640625,-0.48046875,-0.20246331870605233,-0.20175608805988135,0.8776151879925873,-0.7706959230833921,-0.3364751455953288
8485,0.003182193219321932,0.5766399461363383,-0.4785996742897151,0.578125,-0.48046875,-0.17870672143152716,-0.1797395545171974,0.8920152635137992,-0.7725970848490521,-0.30544959948732303
8486,0.0031825682568256825,0.5867852826779123,-0.4759184063544767,0.5859375,-0.4765625,-0.15448113318988038,-0.1554418868184321,0.9134453100443649,-0.7533092710771833,-0.25154840863941663
8487,0.003182943294329433,0.5969136523843502,-0.4732351542148048,0.59765625,-0.47265625,-0.12980894539730675,-0.12894522901187058,0.9458524394028722,-0.7511741290672558,-0.20683223048019814
8488,0.003183318331833183,0.6070248944877781,-0.47054995738708844,0.60546875,-0.46875,-0.10471299608586057,-0.10393014129189578,0.949626863055443,-0.7743958306096981,-0.19697307732458774
8489,0.0031836933693369335,0.61711884861994,-0.4678628554174399,0.6171875,-0.46875,-0.07921655077754865,-0.07993894869008412,0.9542554104348069,-0.7449482507877334,-0.14085490964937328
8490,0.003184068406840684,0.6271953548147174,-0.46517388788094827,0.62890625,-0.46484375,-0.05334328300449352,-0.052142357383044416,0.9798756247774243,-0.7582917556004409,-0.10989985792937416
8491,0.003184443444344434,0.6372542535106034,-0.4624830943809398,0.63671875,-0.4609375,-0.027117254490053103,-0.02613526623394096,1.0210017819748418,-0.7220249800049654,-0.027727446025521112
8492,0.0031848184818481845,0.6472953855532029,-0.45979051454822917,0.6484375,-0.4609375,-0.0005628950071047678,-0.0008377179534434509,0.9998440223659747,-0.765616353865765,-0.04605870568398753
8493,0.0031851935193519354,0.6573185921977047,-0.45709618804037644,0.65625,-0.45703125,0.026295018069944467,0.025708518296707675,1.0398274254103506,-0.7419378010741109,0.0264851271368507
8494,0.0031855685568556854,0.6673237151113182,-0.4544001545409506,0.66796875,-0.453125,0.05343138050371432,0.05483311256643741,1.0303143598941156,-0.7573360161170845,0.038580046083929495
8495,0.003185943594359436,0.6773105963757877,-0.45170245375876844,0.67578125,-0.453125,0.08082078220642414,0.07875082505267732,1.0315112219728413,-0.7153063426298034,0.10192359605126226
8496,0.0031863186318631864,0.6872790784898073,-0.4490031254271596,0.6875,-0.44921875,0.10843752850866173,0.10841837182180142,1.063941841555528,-0.7246048484736621,0.14549785171774593
8497,0.0031866936693669364,0.6972290043714633,-0.4463022093032176,0.6953125,-0.4453125,0.13625566166864186,0.1357052280801499,1.0920460356013402,-0.7241887299259526,0.19474308499238646
8498,0.003187068706870687,0.7071602173606772,-0.4435997451670535,0.70703125,-0.4453125,0.16424898260403925,0.1629168219124807,1.1023850714837604,-0.7347877750351507,0.22463578661414607
8499,0.0031874437443744374,0.7170725612216262,-0.4408957728210483,0.71875,-0.44140625,0.19239107282911747,0.19321076573116253,1.1129209753279277,-0.729749514219315,0.26633593728433863
8500,0.0031878187818781874,0.7269658801451533,-0.4381903320891062,0.7265625,-0.4375,0.22065531657969573,0.2208426922187119,1.126022331405638,-0.7260374222320596,0.30900447338519926
8501,0.003188193819381938,0.7368400187511832,-0.4354834628159075,0.73828125,-0.43359375,0.24901492310854384,0.25135419819498633,1.1408253273924096,-0.7215056269708948,0.35361136130485055
8502,0.0031885688568856884,0.7466948220911105,-0.43277520486615983,0.74609375,-0.43359375,0.2774429491329806,0.27645171065996743,1.1544580131293518,-0.7029683240181102,0.4066710265015837
8503,0.0031889438943894385,0.7565301356501972,-0.4300655981238497,0.7578125,-0.4296875,0.3059123214170104,0.30713954676389676,1.1777437894357223,-0.7009627835314091,0.4561034040366792
8504,0.003189318931893189,0.7663458053499487,-0.42735468249149466,0.765625,-0.42578125,0.33439585947018197,0.3348098238819028,1.165142119054924,-0.6695788199798745,0.4960769524095887
8505,0.0031896939693969394,0.7761416775504819,-0.4246424978893947,0.77734375,-0.42578125,0.3628662983446734,0.36313809888997134,1.226410204463664,-0.7052881828156501,0.5526907320368101
8506,0.0031900690069006903,0.7859175990529054,-0.42192908425487885,0.78515625,-0.421875,0.39129631151271294,0.39071003257372916,1.2378003466014929,-0.6919393195424861,0.6002659200702753
8507,0.0031904440444044404,0.7956734171016231,-0.41921448154157037,0.796875,-0.41796875,0.419658533805941,0.421353782062856,1.2526866937056855,-0.6835886251412043,0.6473717166307632
8508,0.003190819081908191,0.8054089793867423,-0.416498729718617,0.8046875,-0.41796875,0.44792558439902364,0.4465191189100495,1.2787093856401919,-0.6651032550096607,0.7090513483144983
8509,0.0031911941194119413,0.8151241340463734,-0.41378186876995376,0.81640625,-0.4140625,0.47607008981799165,0.4770134459238939,1.274755633118692,-0.6705335501119521,0.7322045518070645
8510,0.0031915691569156914,0.8248187296689629,-0.4110639386935503,0.82421875,-0.41015625,0.5040647069563106,0.5040056089134278,1.296314224986042,-0.6753693397151648,0.7773871812307108
